datetime,tempmax,Forecast
2022-09-10,33.1,31.92839338469586
2022-09-11,33.6,32.42641610803398
2022-09-12,29.5,29.329656120537937
2022-09-13,28.6,28.6166462849574
2022-09-14,28.5,28.302499383876036
2022-09-15,31.1,30.491961008732886
2022-09-16,31.7,31.419113087722668
2022-09-17,32.5,32.24723094558129
2022-09-18,32.5,32.151603364237374
2022-09-19,27.6,27.994757688981885
2022-09-20,26.9,27.24160925129295
2022-09-21,25.5,26.097981077911637
2022-09-22,20.9,22.366475514987837
2022-09-23,22.5,23.68471902900793
2022-09-24,24.1,25.0575547380893
2022-09-25,25.8,25.98141104333969
2022-09-26,26.6,26.411957022282888
2022-09-27,25.5,25.694175266953394
2022-09-28,29.3,28.813963573685093
2022-09-29,29.1,28.754004723186558
2022-09-30,29.7,28.84796899450314
2022-10-01,31.0,30.12088205714304
2022-10-02,30.0,29.50671873154065
2022-10-03,27.0,27.171044193931795
2022-10-04,23.5,24.082197653079636
2022-10-05,22.4,22.866370073991465
2022-10-06,22.5,22.956916658538116
2022-10-07,22.9,23.229875389455227
2022-10-08,24.4,24.53310329546559
2022-10-09,25.5,25.2161664960391
2022-10-10,25.4,24.916209099541554
2022-10-11,23.9,23.73651891066884
2022-10-12,23.9,23.75046190569219
2022-10-13,23.9,23.738617534716976
2022-10-14,20.0,20.376566434888524
2022-10-15,18.5,19.1324581849914
2022-10-16,20.4,20.86353162209671
2022-10-17,20.4,20.876701827317714
2022-10-18,20.4,20.701048325298913
2022-10-19,22.9,22.474052982236508
2022-10-20,23.4,22.7399350693083
2022-10-21,20.5,20.486050774038322
2022-10-22,21.9,21.757497960723835
2022-10-23,25.0,24.291298044838985
2022-10-24,26.8,25.903529443533497
2022-10-25,27.0,25.756944085367373
2022-10-26,25.8,24.79667332326002
2022-10-27,25.4,24.778445026166366
2022-10-28,22.0,22.21896100245269
2022-10-29,21.4,21.775537449839256
2022-10-30,22.4,22.26462657603205
2022-10-31,24.8,24.34528901216756
2022-11-01,23.4,23.356356149304304
2022-11-02,26.0,25.485861087725286
2022-11-03,26.5,25.76261300523993
2022-11-04,24.9,24.346704590463816
